Time,SocketID,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSndLoss,pktSndDrop,pktRetrans,byteSent,byteSndDrop,mbpsSendRate,usPktSndPeriod,pktRecv,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,byteRecv,byteRcvLoss,byteRcvDrop,mbpsRecvRate,RCVLATENCYms,pktSndFilterExtra,pktRcvFilterExtra,pktRcvFilterSupply,pktRcvFilterLoss
312390,86186380,8192,8192,0,79.295,4095.82,1000,0,0,0,0,0,0,0,12,1080,0,0,0,0,1468800,0,0,46.9127,170,0,0,0,0
312571,86186380,8192,8192,0,78.948,4363.64,1000,0,0,0,0,0,0,0,12,840,0,0,0,0,1142400,0,0,50.5202,170,0,0,0,0
312824,86186380,8192,8192,0,78.929,3025.64,1000,0,0,0,0,0,0,0,12,1128,0,0,0,0,1532952,0,0,48.486,170,0,0,0,0
313029,86186380,8192,8192,0,79.04,3078.26,1000,0,0,0,0,0,0,0,12,840,0,0,0,0,1142400,0,0,44.6955,170,0,0,0,0
313277,86186380,8192,8192,0,79.238,3444.98,1000,0,0,0,0,0,0,0,12,1032,0,0,0,0,1403520,0,0,45.169,170,0,0,0,0
313547,86186380,8192,8192,0,79.034,4402.37,1000,0,0,0,0,0,0,0,12,960,0,0,0,0,1305412,0,0,38.7285,170,0,0,0,0
313775,86186380,8192,8192,0,78.872,3931.04,1000,0,0,0,0,0,0,0,12,1224,0,0,0,0,1664640,0,0,58.3943,170,0,0,0,0
313962,86186380,8192,8192,0,79.459,3500,1000,0,0,0,0,0,0,0,12,944,0,0,0,0,1283840,0,0,54.8597,170,0,0,0,0
314194,86186380,8192,8192,0,78.938,3950.32,1000,0,0,0,0,0,0,0,12,880,0,0,0,0,1196800,0,0,41.2713,170,0,0,0,0
314489,86186380,8192,8192,0,78.927,4405.07,1000,0,0,0,0,0,0,0,12,1368,0,0,0,0,1858788,0,0,50.5253,170,0,0,0,0
314663,86186380,8192,8192,0,79.176,4022.74,1000,0,0,0,0,0,0,0,12,1032,0,0,0,0,1402392,0,0,64.4656,170,0,0,0,0
314827,86186380,8192,8192,0,79.116,5117.65,1000,0,0,0,0,0,0,0,12,768,0,0,0,0,1043916,0,0,50.9308,170,0,0,0,0
