Time,SocketID,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSndLoss,pktSndDrop,pktRetrans,byteSent,byteSndDrop,mbpsSendRate,usPktSndPeriod,pktRecv,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,byteRecv,byteRcvLoss,byteRcvDrop,mbpsRecvRate,RCVLATENCYms,pktSndFilterExtra,pktRcvFilterExtra,pktRcvFilterSupply,pktRcvFilterLoss
414910,468301425,7519,8192,224,79.194,3175.49,1000,1008,0,0,0,1370880,0,38.6673,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
415094,468301425,7495,8192,504,78.956,3218.59,1000,984,0,0,0,1338240,0,58.1164,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
415335,468301425,7349,8192,264,78.799,3064.15,1000,1032,0,0,0,1403520,0,46.6216,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
415549,468301425,7458,8192,299,79.14,4096.15,1000,896,8,0,8,1218184,0,45.543,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
415794,468301425,7297,8192,282,79.113,3926.02,1000,1222,118,0,118,1660792,0,54.3544,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
416081,468301425,7614,8192,287,78.881,3949.01,1000,1008,0,0,0,1370880,0,38.2008,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
416318,468301425,7431,8192,224,78.853,3846.22,1000,984,0,0,0,1338052,0,45.0743,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
416614,468301425,7695,8192,375,81.376,3865.74,1000,1015,0,0,0,1380400,0,37.3554,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
416839,468301425,7319,8192,342,80.421,3033.43,1000,991,0,0,0,1347196,0,47.8935,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
417036,468301425,7575,8192,462,79.372,3353.17,1000,920,0,0,0,1251200,0,50.7465,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
417282,468301425,7255,8192,288,79.049,3827.52,1000,1082,0,0,0,1471144,0,47.9167,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
417430,468301425,7319,8192,472,79.058,4072.1,1000,984,0,0,0,1336360,0,72.1601,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
417688,468301425,7447,8192,224,79.152,3921.5,1000,1008,0,0,0,1370692,0,42.4848,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
418042,468301425,7839,8192,224,80.005,3379.79,1000,960,0,0,0,1305600,0,29.5088,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
418204,468301425,7311,8192,440,79.765,3343.43,1000,1032,0,0,0,1403520,0,69.2331,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
418465,468301425,7536,8192,359,79.056,4251.88,1000,1014,0,0,0,1379040,0,42.2895,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
418689,468301425,7471,8192,408,78.888,4601.23,1000,978,0,0,0,1328952,0,47.5288,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
419019,468301425,7758,8192,383,79.045,4005.94,1000,1034,2,0,2,1405112,0,33.9978,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
419240,468301425,7421,8192,288,78.922,4264.44,1000,984,0,0,0,1338052,0,48.4133,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
419430,468301425,7309,8192,294,78.79,4402.45,1000,960,0,0,0,1304660,0,55.0978,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
419661,468301425,7543,8192,432,78.733,4128.34,1000,1008,0,0,0,1370128,0,47.3317,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
